user_id,model,n_train,n_test,accuracy,precision,recall,f1_score,brier_score,rmse,auc
1,DecisionTree,255,55,0.8727272727272727,0.75,0.9473684210526315,0.8372093023255814,0.1022755323189889,0.3198054601144091,0.9137426900584794
1,RandomForest+Platt,255,55,0.8545454545454545,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.09935982027378426,0.3152139277915623,0.9342105263157895
1,RF+OptimalThreshold,255,55,0.8545454545454545,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.09935982027378426,0.3152139277915623,0.9342105263157895
1,LogisticRegression,255,55,0.8727272727272727,0.75,0.9473684210526315,0.8372093023255814,0.10354500669091964,0.3217840994998349,0.9649122807017544
2,DecisionTree,255,55,0.8545454545454545,0.84,0.84,0.84,0.10682483519259686,0.32684068778626213,0.908
2,RandomForest+Platt,255,55,0.8909090909090909,0.9523809523809523,0.8,0.8695652173913043,0.06459194537268334,0.2541494547951723,0.9853333333333334
2,RF+OptimalThreshold,255,55,0.9272727272727272,0.92,0.92,0.92,0.06459194537268334,0.2541494547951723,0.9853333333333334
2,LogisticRegression,255,55,0.8727272727272727,0.78125,1.0,0.8771929824561403,0.09105186508556028,0.30174801587675815,0.9773333333333334
3,DecisionTree,255,55,0.8363636363636363,1.0,0.5714285714285714,0.7272727272727273,0.16375697436523617,0.40466896886867443,0.7857142857142857
3,RandomForest+Platt,255,55,0.9090909090909091,1.0,0.7619047619047619,0.8648648648648649,0.08062877284946897,0.2839520608297622,0.9817927170868348
3,RF+OptimalThreshold,255,55,0.9454545454545454,0.95,0.9047619047619048,0.926829268292683,0.08062877284946897,0.2839520608297622,0.9817927170868348
3,LogisticRegression,255,55,0.9636363636363636,1.0,0.9047619047619048,0.95,0.037422999959449206,0.1934502518981281,0.9873949579831933
4,DecisionTree,255,55,0.7272727272727273,0.6470588235294118,0.55,0.5945945945945946,0.27047377363601516,0.5200709313507295,0.6771428571428572
4,RandomForest+Platt,255,55,0.8181818181818182,0.8125,0.65,0.7222222222222222,0.1272215972864561,0.35668136660954985,0.9014285714285715
4,RF+OptimalThreshold,255,55,0.7272727272727273,0.5925925925925926,0.8,0.6808510638297872,0.1272215972864561,0.35668136660954985,0.9014285714285715
4,LogisticRegression,255,55,0.8,0.6666666666666666,0.9,0.7659574468085106,0.1430039165715357,0.3781585865368334,0.92
5,DecisionTree,255,55,0.9090909090909091,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.07194837501914726,0.2682319425779623,0.9623015873015873
5,RandomForest+Platt,255,55,0.8727272727272727,1.0,0.75,0.8571428571428571,0.107531851841067,0.3279204962198414,0.9656084656084656
5,RF+OptimalThreshold,255,55,0.8545454545454545,0.9545454545454546,0.75,0.84,0.107531851841067,0.3279204962198414,0.9656084656084656
5,LogisticRegression,255,55,0.8363636363636363,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.10248884041809064,0.32013878305836463,0.9523809523809523
6,DecisionTree,255,55,0.9090909090909091,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.09869239856359073,0.31415346339582306,0.9113756613756613
6,RandomForest+Platt,255,55,0.8545454545454545,0.9545454545454546,0.75,0.84,0.10400432494144372,0.32249701539928044,0.9814814814814815
6,RF+OptimalThreshold,255,55,0.9090909090909091,0.96,0.8571428571428571,0.9056603773584906,0.10400432494144372,0.32249701539928044,0.9814814814814815
6,LogisticRegression,255,55,0.8727272727272727,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.09945908677914903,0.31537134742894607,0.9563492063492064
7,DecisionTree,255,55,0.9090909090909091,0.88,0.9166666666666666,0.8979591836734694,0.08969842598655367,0.2994969548869465,0.9227150537634408
7,RandomForest+Platt,255,55,0.8181818181818182,1.0,0.5833333333333334,0.7368421052631579,0.12291553590509889,0.35059312016224575,0.9637096774193549
7,RF+OptimalThreshold,255,55,0.8909090909090909,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.12291553590509889,0.35059312016224575,0.9637096774193549
7,LogisticRegression,255,55,0.9454545454545454,0.92,0.9583333333333334,0.9387755102040817,0.05556777341385568,0.23572817696205875,0.9744623655913978
8,DecisionTree,255,55,0.9090909090909091,0.8235294117647058,0.875,0.8484848484848485,0.06913872089978257,0.26294242886948194,0.9270833333333334
8,RandomForest+Platt,255,55,0.9272727272727272,1.0,0.75,0.8571428571428571,0.06373344235849854,0.2524548323136211,0.9583333333333333
8,RF+OptimalThreshold,255,55,0.9090909090909091,0.7894736842105263,0.9375,0.8571428571428571,0.06373344235849854,0.2524548323136211,0.9583333333333333
8,LogisticRegression,255,55,0.9090909090909091,0.7619047619047619,1.0,0.8648648648648649,0.05531097583120193,0.2351828561592063,0.9967948717948718
9,DecisionTree,255,55,0.7636363636363637,0.6785714285714286,0.8260869565217391,0.7450980392156863,0.16876192918343003,0.410806437611961,0.795516304347826
9,RandomForest+Platt,255,55,0.8363636363636363,0.8888888888888888,0.6956521739130435,0.7804878048780488,0.10151361935601676,0.31861202010598527,0.9470108695652174
9,RF+OptimalThreshold,255,55,0.8909090909090909,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.10151361935601676,0.31861202010598527,0.9470108695652174
9,LogisticRegression,255,55,0.8727272727272727,0.8076923076923077,0.9130434782608695,0.8571428571428571,0.11733632094884335,0.3425438963824102,0.9008152173913043
10,DecisionTree,255,55,0.8909090909090909,0.9354838709677419,0.8787878787878788,0.90625,0.08935007445038586,0.2989148280871758,0.9276859504132233
10,RandomForest+Platt,255,55,0.9272727272727272,0.9142857142857143,0.9696969696969697,0.9411764705882353,0.057228342832928644,0.23922446119268123,0.9793388429752066
10,RF+OptimalThreshold,255,55,0.9272727272727272,0.9142857142857143,0.9696969696969697,0.9411764705882353,0.057228342832928644,0.23922446119268123,0.9793388429752066
10,LogisticRegression,255,55,0.9272727272727272,0.9142857142857143,0.9696969696969697,0.9411764705882353,0.06973981009765942,0.2640829606348343,0.9848484848484849
11,DecisionTree,255,55,0.8909090909090909,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.09346076524181712,0.30571353460685563,0.9099462365591399
11,RandomForest+Platt,255,55,0.8727272727272727,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.07107155693837008,0.266592492276827,0.9744623655913979
11,RF+OptimalThreshold,255,55,0.8727272727272727,0.7741935483870968,1.0,0.8727272727272727,0.07107155693837008,0.266592492276827,0.9744623655913979
11,LogisticRegression,255,55,0.8727272727272727,0.7931034482758621,0.9583333333333334,0.8679245283018868,0.08684763970466426,0.2946992360096379,0.9811827956989246
12,DecisionTree,255,55,0.8181818181818182,0.8666666666666667,0.8125,0.8387096774193549,0.1406429339095378,0.37502391111706174,0.8641304347826086
12,RandomForest+Platt,255,55,0.8181818181818182,0.8928571428571429,0.78125,0.8333333333333334,0.11361564234191207,0.3370691951838852,0.9415760869565218
12,RF+OptimalThreshold,255,55,0.8727272727272727,0.9032258064516129,0.875,0.8888888888888888,0.11361564234191207,0.3370691951838852,0.9415760869565218
12,LogisticRegression,255,55,0.8545454545454545,0.8529411764705882,0.90625,0.8787878787878788,0.09045061069383555,0.3007500801227417,0.9592391304347826
13,DecisionTree,255,55,0.8181818181818182,0.8928571428571429,0.78125,0.8333333333333334,0.1482241132402065,0.3849988483621821,0.8342391304347827
13,RandomForest+Platt,255,55,0.8363636363636363,0.8484848484848485,0.875,0.8615384615384616,0.117080758302119,0.3421706566935847,0.9239130434782609
13,RF+OptimalThreshold,255,55,0.7818181818181819,0.75,0.9375,0.8333333333333334,0.117080758302119,0.3421706566935847,0.9239130434782609
13,LogisticRegression,255,55,0.7818181818181819,0.7777777777777778,0.875,0.8235294117647058,0.13171279177363718,0.3629225699424564,0.9361413043478262
14,DecisionTree,255,55,0.8909090909090909,0.8181818181818182,1.0,0.9,0.09387975996661375,0.30639804171471746,0.9219576719576719
14,RandomForest+Platt,255,55,0.8545454545454545,0.8275862068965517,0.8888888888888888,0.8571428571428571,0.08047756825779283,0.2836856856765826,0.9642857142857142
14,RF+OptimalThreshold,255,55,0.8545454545454545,0.8275862068965517,0.8888888888888888,0.8571428571428571,0.08047756825779283,0.2836856856765826,0.9642857142857142
14,LogisticRegression,255,55,0.8727272727272727,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.09131437675301805,0.3021826877122812,0.9537037037037037
15,DecisionTree,255,55,0.8181818181818182,0.7714285714285715,0.9310344827586207,0.84375,0.13461852283659229,0.36690396950236487,0.8746684350132625
15,RandomForest+Platt,255,55,0.8363636363636363,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.10856214263978539,0.32948769725102844,0.9389920424403183
15,RF+OptimalThreshold,255,55,0.8181818181818182,0.7714285714285715,0.9310344827586207,0.84375,0.10856214263978539,0.32948769725102844,0.9389920424403183
15,LogisticRegression,255,55,0.8,0.725,1.0,0.8405797101449275,0.14304663425322647,0.3782150634932809,0.9456233421750663
